drug	status	target	atc	cas
edrophonium	approved	ACHE,BCHE	V04CX07	312-48-1
metyrapone	approved	CYP11B1	V04CD01	54-36-4
cinacalcet	approved	CASR	H05BX01	226256-56-0
clobetasol propionate	approved	NR3C1		25122-46-7
balsalazide	approved	PPARG,PTGS2,PTGS1,ALOX5	A07EC04	80573-04-2
sulfamethoxazole	approved		J04AM08	723-46-6
atp	non			
glyburide	non			
potassium cation	non			
calcium	non			
glyburide	approved	ABCC8	A10BB01	10238-21-8
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
minocycline	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
minocycline	approved		J01AA08	10118-90-8
guanfacine	approved	ADRA2A	C02AC02	29110-47-2
bethanechol	approved	CHRM2	N07AB02	674-38-4
isosorbide mononitrate	approved	GUCY1A2	C01DA14	16051-77-7
cysteine	non			
trichlormethiazide	non			
potassium cation	non			
urea	non			
trichlormethiazide	approved	SLC12A3,ATP1A1	G01AE10	133-67-5
ardeparin	non			
phylloquinone	non			
calcium	non			
fondaparinux	non			
phylloquinone	non			
calcium	non			
lepirudin	non			
phylloquinone	non			
calcium	non			
alteplase	non			
phylloquinone	non			
calcium	non			
anistreplase	non			
phylloquinone	non			
calcium	non			
urokinase	non			
phylloquinone	non			
calcium	non			
phenindione	non			
phylloquinone	non			
calcium	non			
warfarin	non			
phylloquinone	non			
calcium	non			
phylloquinone	non			
calcium	non			
acenocoumarol	non			
dicoumarol	non			
phylloquinone	non			
calcium	non			
argatroban	non			
phylloquinone	non			
calcium	non			
phylloquinone	non			
calcium	non			
ximelagatran	non			
tenecteplase	non			
phylloquinone	non			
calcium	non			
aminocaproic acid	non			
phylloquinone	non			
calcium	non			
dicoumarol	non			
phylloquinone	non			
calcium	non			
phenprocoumon	non			
phylloquinone	non			
calcium	non			
phylloquinone	non			
heparin	non			
calcium	non			
ardeparin	non			
phylloquinone	non			
calcium	non			
bivalirudin	non			
phylloquinone	non			
calcium	non			
streptokinase	non			
phylloquinone	non			
calcium	non			
reteplase	non			
phylloquinone	non			
calcium	non			
tranexamic acid	non			
phylloquinone	non			
calcium	non			
phylloquinone	non			
calcium	non			
aprotinin	non			
phylloquinone	non			
(4r,5r)-1,2-dithiane-4,5-diol	non			
flavin adenine dinucleotide	non			
propanoic acid	non			
methylmalonic acid	non			
phylloquinone	non			
calcium	non			
phylloquinone	approved	GGCX	B02BA01	84-80-0
felodipine	non			
atp	non			
felodipine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
felodipine	approved	CACNA1C,CACNA2D1,CACNB2,CACNA1D,CACNA1S	C07FB02	72509-76-3
nadh	non			
atp	non			
mycophenolate mofetil	non			
mycophenolic acid	non			
potassium cation	non			
mesoheme	non			
uridine-5'-diphosphate	non			
formaldehyde	non			
mycophenolic acid	approved	IMPDH1,IMPDH2	L04AA06	24280-93-1
amlexanox	approved		A01AD07	68302-57-8
ketoconazole	approved	CYP17A1	G01AF11	65277-42-1
methoxyflurane	approved	GABRA1,GRIA1,GLRA1,KCNA1,GABRA1	N02BG09	76-38-0
irbesartan	non			
zinc	non			
irbesartan	approved	AGTR1	C09CA04	138402-11-6
topotecan	approved	TOP1	L01XX17	123948-87-8
ethinamate	approved	CA1,CA2		126-52-3
probenecid	approved	SLC22A6,SLC22A11,SLC22A8	M04AB01	57-66-9
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
azathioprine	non			
mercaptopurine	non			
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
azathioprine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
tioguanine	non			
adenosine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
ademetionine	non			
l-glutamine	non			
adenosine phosphate	non			
nadh	non			
atp	non			
mercaptopurine	non			
potassium cation	non			
magnesium cation	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
flavin adenine dinucleotide	non			
pyrophosphoric acid	non			
mercaptopurine	approved	HPRT1	L01BB02	50-44-2
cerulenin	non	FASN		17397-89-6
atp	non			
procainamide	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
procainamide	approved		C01BA02	51-06-9
tolterodine	approved	CHRM3,CHRM2,CHRM5,CHRM1,CHRM4	G04BD07	124937-51-5
selegiline	approved	MAOB	N04BD01	14611-51-9
carphenazine	non	DRD2,DRD1,DRD5		2622-30-2
fenofibrate	approved	PPARA	C10BA03	49562-28-9
thalidomide	approved	CRBN,TNF,NFKB1,FGFR2	L04AX02	50-35-1
melphalan	approved		L01AA03	148-82-3
memantine	approved	GRIN1	N06DA52	19982-08-2
gatifloxacin	approved		S01AE06	112811-59-3
rifampicin	approved		J04AM02	13292-46-1
lubiprostone	approved	CLCN2	A06AX03	136790-76-6
fluocinonide	approved	NR3C1	C05AA11	356-12-7
adenosine phosphate	non			
atp	non			
abacavir	non			
pyrophosphoric acid	non			
abacavir	approved		J05AR13	136470-78-5
ergoloid mesylate	approved	DRD1,ADRA1A,ADRB1,HTR1A		8067-24-1
glutamic acid	non			
glutathione	non			
dinoprostone	non			
ibuprofen	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
uridine-5'-diphosphate	non			
prostaglandin g2	non			
arachidonic acid	non			
ibuprofen	non			
mesoheme	non			
uridine-5'-diphosphate	non			
ibuprofen	approved	PTGS2,PTGS1	G02CC01	15687-27-1
novobiocin	approved			303-81-1
benzylpenicillin	approved		J01CR50	61-33-6
atp	non			
nitrendipine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
nitrendipine	approved	CACNA1C,CACNA2D1,CACNB2,CACNA1D,CACNA1S	C08CA08	39562-70-4
mimosine	non	SHMT1,CCL2		500-44-7
atp	non			
tocainide	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
tocainide	approved	SCN5A	C01BB03	41708-72-9
echothiophate	approved	BCHE	S01EB03	6736-03-4
praziquantel	approved		P02BA01	55268-74-1
norfloxacin	approved		J01RA13	70458-96-7
amoxicillin	approved		A02BD12	26787-78-0
azlocillin	approved		J01CR50	37091-66-0
oxybutynin	approved	CHRM3,CHRM2,CHRM1	G04BD04	5633-20-5
acetophenazine	approved	DRD2	N05AB07	2751-68-0
atp	non			
isoprenaline	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
isoprenaline	approved	ADRB1,ADRB2,ADRB3	C01CA02	7683-59-2
pyridoxal phosphate	non			
ademetionine	non			
glutamic acid	non			
tryptophan	non			
nadh	non			
alanine	non			
atp	non			
sapropterin	non			
melatonin	non			
iron	non			
quinolinic acid	non			
formic acid	non			
kynurenine	non			
mesoheme	non			
oxitriptan	non			
flavin adenine dinucleotide	non			
3-hydroxyanthranilic acid	non			
pyrophosphoric acid	non			
n-acetylserotonin	non			
indoleacetic acid	non			
tryptamine	non			
melatonin	approved	MTNR1A,MTNR1B	N05CH01	73-31-4
cefditoren	approved		J01DD16	104145-95-1
glipizide	approved	ABCC8	A10BB07	29094-61-9
clonazepam	approved	GABRA1,GABRA1	N03AE01	1622-61-3
promethazine	non			
calcium	non			
promethazine	approved	HRH1	R06AD52	60-87-7
dihydrotachysterol	approved	VDR	A11CC02	67-96-9
mequitazine	non			
calcium	non			
mequitazine	non	HRH1	R06AD07	29216-28-2
atazanavir	approved		J05AE08	198904-31-3
fludarabine	approved	RRM1,POLA1,DCK	L01BB05	21679-14-1
perhexiline	approved	CPT1A,CPT2	C08EX02	6621-47-2
diphenhydramine	non			
calcium	non			
diphenhydramine	approved	HRH1	D04AA32	58-73-1
atorvastatin	approved	HMGCR	C10BX15	134523-00-5
etidronic acid	approved		M05BB01	2809-21-4
deslanoside	approved	ATP1A1	C01AA07	17598-65-1
tegaserod	approved	HTR4	A06AX06	145158-71-0
vigabatrin	approved	ABAT	N03AG04	68506-86-5
atp	non			
norepinephrine	non			
dopamine	non			
diphenoxylate	non			
potassium cation	non			
calcium	non			
diphenoxylate	approved	OPRM1	A07DA01	915-30-0
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
streptomycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
streptomycin	approved		J04AM01	57-92-1
orlistat	approved	PNLIP,LIPF,FASN	A08AB01	96829-58-2
emedastine	non			
calcium	non			
emedastine	approved	HRH1	S01GX06	87233-61-2
pilocarpine	approved	CHRM3,CHRM1,CHRM2	N07AX01	92-13-7
atp	non			
norepinephrine	non			
dopamine	non			
benzocaine	non			
potassium cation	non			
calcium	non			
benzocaine	approved	SCN10A	C05AD03	94-09-7
primaquine	approved		P01BA03	90-34-6
iloprost	approved	PTGIR,PTGER1	B01AC11	78919-13-8
deserpidine	approved	SLC18A2	C02LA03	131-01-1
pentolinium	approved	CHRNA10,CHRNA3,CHRNB4		144-44-5
butenafine	approved	SQLE	D01AE23	101828-21-1
ouabain	approved	ATP1A1	C01AC01	630-60-4
dimethyl sulfoxide	approved		M02AX03	67-68-5
hesperetin	non	SOAT1,MTTP		520-33-2
cholecalciferol	non			
atp	non			
fluvastatin	non			
magnesium cation	non			
iron	non			
dimethylallyl diphosphate	non			
formic acid	non			
geranyl diphosphate	non			
mesoheme	non			
flavin adenine dinucleotide	non			
palmitic acid	non			
pyrophosphoric acid	non			
cholesterol	non			
isopentenyl pyrophosphate	non			
farnesyl diphosphate	non			
fluvastatin	approved	HMGCR	C10AA04	93957-54-1
oxamniquine	approved		P02BA02	21738-42-1
leflunomide	approved	DHODH	L04AA13	75706-12-6
cholecalciferol	non			
atp	non			
rosuvastatin	non			
magnesium cation	non			
iron	non			
dimethylallyl diphosphate	non			
formic acid	non			
geranyl diphosphate	non			
mesoheme	non			
flavin adenine dinucleotide	non			
palmitic acid	non			
pyrophosphoric acid	non			
cholesterol	non			
isopentenyl pyrophosphate	non			
farnesyl diphosphate	non			
rosuvastatin	approved	HMGCR	C10BX10	287714-41-4
flucytosine	approved		J02AX01	2022-85-7
pimozide	approved	DRD2,DRD3,KCNH2	N05AG02	2062-78-4
meprobamate	non			
fluorouracil	non			
capecitabine	non			
flavin adenine dinucleotide	non			
meprobamate	non			
fluorouracil	non			
capecitabine	non			
flavin adenine dinucleotide	non			
capecitabine	approved	TYMS	L01BC06	154361-50-9
atp	non			
arbutamine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
arbutamine	approved	ADRB1	C01CA22	128470-16-6
quinacrine	non	PLA2G6,PLA2G4A,PLCL1	P01AX05	83-89-6
sertraline	approved	SLC6A4	N06AB06	79617-96-2
sibutramine	approved	SLC6A2,SLC6A4,SLC6A3	A08AA10	106650-56-0
levocabastine	non			
calcium	non			
levocabastine	approved	HRH1,NTSR2	R01AC02	79516-68-0
methyprylon	approved	GABRA1,GABRA1	N05CE02	125-64-4
trilostane	approved	HSD3B1,HSD3B2,ESR1,ESR2	H02CA01	13647-35-3
phylloquinone	non			
heparin	non			
calcium	non			
heparin	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
arachidonic acid	non			
heparin	approved	SERPINC1,F10	B01AB51	9005-49-6
miconazole	approved		A07AC01	22916-47-8
colistimethate	approved			12705-41-8
cefuroxime	approved		S01AA27	55268-75-2
papaverine	approved	PDE4B	G04BE02	58-74-2
chlorpheniramine	non			
calcium	non			
chlorpheniramine	approved	HRH1	R06AB54	132-22-9
atp	non			
nifedipine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
nifedipine	approved	CACNA1C,CACNA1D,CACNB2	C08CA55	21829-25-4
trimethaphan	approved	CHRNA10	C02BA01	7187-66-8
atovaquone	approved		P01AX06	95233-18-4
atp	non			
amiodarone	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
amiodarone	approved	KCNH2,ADRB1	C01BD01	1951-25-3
diazoxide	approved	KCNJ11,CA1,CA2	G01AE10	364-98-7
atp	non			
gliclazide	non			
potassium cation	non			
calcium	non			
gliclazide	approved	ABCC8	A10BB09	21187-98-4
phenacemide	approved	SCN1A	N03AX07	63-98-9
ambenonium	approved	ACHE	N07AA30	7648-98-8
proflavine	approved			92-62-6
tolbutamide	approved	ABCC8	V04CA01	64-77-7
anisindione	approved	GGCX		117-37-3
dutasteride	approved	SRD5A2,SRD5A1	G04CB02	164656-23-9
econazole	approved		G01AF05	27220-47-9
bicalutamide	approved	AR	L02BB03	90357-06-5
rabeprazole	non			
atp	non			
rabeprazole	non			
potassium cation	non			
zinc	non			
acetylcholine	non			
rabeprazole	approved	ATP4A	A02BD12	117976-89-3
prednicarbate	approved	NR3C1	D07AC18	73771-04-7
proguanil	approved	DHFR	P01BB01	500-92-5
pioglitazone	approved	PPARG	A10BD09	111025-46-8
tiludronic acid	approved		M05BA05	89987-06-4
desoxycorticosterone pivalate	non	NR3C2		808-48-0
doxacurium	approved	CHRNA2	M03AC07	106791-39-3
atp	non			
carvedilol	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
carvedilol	approved	ADRB1,ADRA1A,ADRA1A	C07AG02	72956-09-3
levofloxacin	approved		J01MA12	100986-85-4
sulfinpyrazone	approved	ABCC2,ABCC1,SLC22A12	M04AB02	57-96-5
cefapirin	approved		J01DB08	21593-23-7
cefadroxil	approved		J01DB05	50370-12-2
micafungin	approved		J02AX05	235114-32-6
doxepin	non			
calcium	non			
nadh	non			
doxepin	non			
mesoheme	non			
formaldehyde	non			
doxepin	approved	HRH1,HRH2,SLC6A2,SLC6A4	N06AA12	1668-19-5
amifostine	approved	ALPG	V03AF05	20537-88-6
diclofenamide	approved	CA2,CA1,CA4,CA7	G01AE10	120-97-8
sulfoxone	approved		J04BA03	144-76-3
diphenylpyraline	non			
calcium	non			
diphenylpyraline	approved	HRH1	R06AA57	147-20-6
cloxacillin	approved		J01CR50	61-72-3
flavoxate	approved	CHRM2,CHRM1	G04BD02	15301-69-6
nefazodone	approved	HTR2A,HTR2C,SLC6A4,HTR1A,SLC6A2	N06AX06	83366-66-9
cefprozil	approved		J01DC10	92665-29-7
nadh	non			
atp	non			
norepinephrine	non			
imipramine	non			
dopamine	non			
desipramine	non			
potassium cation	non			
calcium	non			
mesoheme	non			
formaldehyde	non			
atp	non			
norepinephrine	non			
dopamine	non			
desipramine	non			
potassium cation	non			
calcium	non			
mesoheme	non			
nadh	non			
imipramine	non			
desipramine	non			
mesoheme	non			
formaldehyde	non			
desipramine	non			
mesoheme	non			
desipramine	approved	SLC6A2,SLC6A4,HTR2A	N06AA01	50-47-5
candicidin	approved		G01AA04	1403-17-4
sertaconazole	approved		G01AF19	99592-32-2
thiamylal	approved	GABRA1,KCNJ8,KCNJ11	N05CB01	77-27-0
gemifloxacin	approved		J01MA15	175463-14-6
bupropion	approved	SLC6A3,SLC6A2	A08AA62	34911-55-2
trimetrexate	approved	DHFR	P01AX07	52128-35-5
bretylium	approved	ATP1A1	C01BD02	59-41-6
halothane	approved	KCNK3,KCNK9,GABRA1,ATP2B1	N01AB01	151-67-7
dinoprost tromethamine	approved	PTGFR		38562-01-5
atp	non			
norepinephrine	non			
dopamine	non			
chloroprocaine	non			
potassium cation	non			
calcium	non			
chloroprocaine	approved	SCN10A	N01BA04	133-16-4
terazosin	approved	ADRA1A,ADRA1B,ADRA1D,TGFB1	G04CA03	63590-64-7
amdinocillin	non		J01CA11	32887-01-7
calcium chloride	approved		A12AA07	10043-52-4
ofloxacin	approved		J01MA01	82419-36-1
cilostazol	non			
zinc	non			
cilostazol	approved	PDE3A	B01AC23	73963-72-1
itraconazole	approved	CYP51A1	J02AC02	84625-61-6
procarbazine	approved	MAOA	L01XB01	671-16-9
arsenic trioxide	approved	IKBKB,TXNRD1,JUN,CCND1,MAPK3,MAPK1	L01XX27	1327-53-3
guanethidine	approved	SLC6A2	S01EX01	55-65-2
moclobemide	approved	MAOA	N06AG02	71320-77-9
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
kanamycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
kanamycin	approved		S01AA24	59-01-8
orphenadrine	non			
calcium	non			
orphenadrine	approved	GRIN2D,GRIN1,GRIN3B,GRIN3A,HRH1,SLC6A2	M03BC51	83-98-7
phenobarbital	approved	GABRA1	N05CB01	50-06-6
atp	non			
norepinephrine	non			
dopamine	non			
escitalopram	non			
potassium cation	non			
calcium	non			
escitalopram	approved	SLC6A4	N06AB10	128196-01-0
cyclizine	non			
calcium	non			
cyclizine	approved	HRH1	R06AE03	82-92-8
idarubicin	approved	TOP2A	L01DB06	58957-92-9
chlormezanone	approved	TSPO	M03BB02	80-77-3
podofilox	approved	TOP2A,TUBA4A,TUBB	D06BB04	518-28-5
rescinnamine	non			
zinc	non			
rescinnamine	approved	ACE	C02LA52	24815-24-5
nadh	non			
ifosfamide	non			
mesoheme	non			
acrylic acid	non			
nadh	non			
ifosfamide	non			
mesoheme	non			
acrylic acid	non			
ifosfamide	approved		L01AA06	3778-73-2
propafenone	approved	SCN5A,KCNH2	C01BC03	54063-53-5
atp	non			
norepinephrine	non			
dopamine	non			
naloxone	non			
potassium cation	non			
calcium	non			
naloxone	approved	OPRM1,OPRD1,OPRK1	A06AH04	465-65-6
domperidone	approved	DRD2,DRD3	A03FA03	57808-66-9
fluoxymesterone	approved	AR,ESR1	G03BA01	76-43-7
pergolide	approved	DRD2,DRD3,DRD4,DRD5,DRD1	N04BC02	66104-22-1
iophendylate	approved		V08AD04	99-79-6
ciclopirox	approved	ATP1A1	D01AE14	29342-05-0
desflurane	approved	GABRA1,GLRA1,GRIA1,KCNA1,MT-ND1,ATP2C1	N01AB07	57041-67-5
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
